"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT238176","hsa","hsa","hsa-miR-142-5p","ANKRD33B","0","0","0","0","1","0","0","1","2","10"
"MIRT239936","hsa","hsa","hsa-miR-142-3p","CLDN12","0","0","0","0","1","0","0","0","1","1"
"MIRT260955","hsa","hsa","hsa-miR-142-5p","SCD","0","0","0","0","1","0","0","1","2","2"
"MIRT266052","hsa","hsa","hsa-miR-142-5p","FJX1","0","0","0","0","1","0","0","1","2","4"
"MIRT281791","hsa","hsa","hsa-miR-142-5p","MAP2K1","0","0","0","0","1","0","0","1","2","2"
"MIRT293648","hsa","hsa","hsa-miR-142-5p","PVR","0","0","0","0","1","0","0","1","2","4"
"MIRT297086","hsa","hsa","hsa-miR-142-5p","RGPD4","0","0","0","0","1","0","0","1","2","2"
"MIRT302584","hsa","hsa","hsa-miR-142-5p","ADI1","0","0","0","0","1","0","0","1","2","2"
"MIRT303493","hsa","hsa","hsa-miR-142-5p","NAGK","0","0","0","0","1","0","0","1","2","6"
"MIRT305209","hsa","hsa","hsa-miR-199b-5p","TFDP2","0","0","0","0","1","0","0","1","2","2"
"MIRT325513","hsa","hsa","hsa-miR-142-5p","PTPDC1","0","0","0","0","1","0","0","1","2","4"
"MIRT326672","hsa","hsa","hsa-miR-142-5p","ZNF275","0","0","0","0","1","0","0","1","2","2"
"MIRT328118","hsa","hsa","hsa-miR-142-5p","ZNF711","0","0","0","0","1","0","0","1","2","2"
"MIRT336736","hsa","hsa","hsa-miR-142-3p","ZNF678","0","0","0","0","1","0","0","1","2","2"
"MIRT346923","hsa","hsa","hsa-miR-199b-5p","ZNF844","0","0","0","0","1","0","0","1","2","2"
"MIRT358312","hsa","hsa","hsa-miR-199b-5p","PANK3","0","0","0","0","1","0","0","1","2","2"
"MIRT360760","hsa","hsa","hsa-miR-142-5p","GLO1","0","0","0","0","1","0","0","1","2","2"
"MIRT366070","hsa","hsa","hsa-miR-142-3p","FAM127A","0","0","0","0","1","0","0","1","2","4"
"MIRT375956","hsa","hsa","hsa-miR-142-3p","HGS","0","0","0","0","1","0","0","0","1","1"
"MIRT389726","hsa","hsa","hsa-miR-142-3p","COPG1","0","0","0","0","1","0","0","0","1","1"
"MIRT395211","hsa","hsa","hsa-miR-142-5p","PRKCB","0","0","0","0","1","0","0","1","2","2"
"MIRT401908","hsa","hsa","hsa-miR-199b-5p","COL19A1","0","0","0","0","1","0","0","1","2","2"
"MIRT404627","hsa","hsa","hsa-miR-142-3p","LCOR","0","0","0","0","1","0","0","1","2","2"
"MIRT437600","hsa","hsa","hsa-miR-142-3p","MGLL","0","0","1","1","1","0","0","0","3","2"
"MIRT437601","hsa","hsa","hsa-miR-142-3p","USP6NL","0","0","1","1","1","0","0","0","3","2"
"MIRT437602","hsa","hsa","hsa-miR-142-3p","CCDC6","0","0","1","1","0","0","0","0","2","1"
"MIRT437603","hsa","hsa","hsa-miR-142-3p","HECTD1","0","0","1","1","1","0","0","1","4","4"
"MIRT437604","hsa","hsa","hsa-miR-142-3p","WASL","0","0","1","1","1","0","0","0","3","2"
"MIRT437606","hsa","hsa","hsa-miR-142-3p","TWF1","0","0","1","1","1","0","0","1","4","5"
"MIRT437607","hsa","hsa","hsa-miR-142-3p","C1orf9","0","0","1","1","1","0","0","0","3","2"
"MIRT437846","hsa","hsa","hsa-miR-886-3p","PLK1","1","0","0","0","0","0","0","0","1","1"
"MIRT437871","hsa","hsa","hsa-miR-142-3p","ABCG2","1","1","0","0","0","0","0","0","2","1"
"MIRT437872","hsa","hsa","hsa-miR-142-3p","LGR5","1","1","0","0","0","0","0","0","2","1"
"MIRT437940","hsa","hsa","hsa-miR-142-5p","ZEB1","1","0","1","0","0","0","0","0","2","1"
"MIRT438329","hsa","hsa","hsa-miR-142-3p","HOXA10","1","1","1","0","0","0","0","0","3","1"
"MIRT438330","hsa","hsa","hsa-miR-142-3p","HOXA7","1","0","0","0","0","0","0","0","1","1"
"MIRT438331","hsa","hsa","hsa-miR-142-3p","HOXA9","1","0","0","0","0","0","0","0","1","1"
"MIRT438672","hsa","hsa","hsa-miR-142-5p","SIRT1","1","1","1","0","0","0","0","0","3","1"
"MIRT438904","hsa","hsa","hsa-miR-142-3p","LRRC32","1","1","1","0","0","0","0","0","3","1"
"MIRT438906","hsa","hsa","hsa-miR-142-3p","","1","0","1","0","1","0","0","0","3","3"
"MIRT439187","hsa","hsa","hsa-miR-142-3p","ZNF676","0","0","0","0","1","0","0","0","1","1"
"MIRT439201","hsa","hsa","hsa-miR-142-3p","ZNF473","0","0","0","0","1","0","0","0","1","1"
"MIRT439218","hsa","hsa","hsa-miR-142-3p","ZNF217","0","0","0","0","1","0","0","0","1","1"
"MIRT439226","hsa","hsa","hsa-miR-142-3p","ZMYND8","0","0","0","0","1","0","0","0","1","1"
"MIRT439235","hsa","hsa","hsa-miR-142-3p","ZFX","0","0","0","0","1","0","0","0","1","1"
"MIRT439236","hsa","hsa","hsa-miR-142-3p","ZFPM1","0","0","0","0","1","0","0","0","1","1"
"MIRT439284","hsa","hsa","hsa-miR-142-3p","WIZ","0","0","0","0","1","0","0","0","1","1"
"MIRT439383","hsa","hsa","hsa-miR-142-3p","TSPYL1","0","0","0","0","1","0","0","0","1","1"
"MIRT439406","hsa","hsa","hsa-miR-142-3p","TNRC18","0","0","0","0","1","0","0","0","1","1"
"MIRT439429","hsa","hsa","hsa-miR-142-3p","TMEM59","0","0","0","0","1","0","0","1","2","3"
"MIRT439496","hsa","hsa","hsa-miR-142-3p","SYPL1","0","0","0","0","1","0","0","0","1","1"
"MIRT439514","hsa","hsa","hsa-miR-142-3p","STX2","0","0","0","0","1","0","0","0","1","1"
"MIRT439519","hsa","hsa","hsa-miR-142-3p","STRN3","0","0","0","0","1","0","0","0","1","1"
"MIRT439540","hsa","hsa","hsa-miR-142-3p","SS18","0","0","0","0","1","0","0","0","1","1"
"MIRT439582","hsa","hsa","hsa-miR-142-3p","SMG1","0","0","0","0","1","0","0","0","1","1"
"MIRT439593","hsa","hsa","hsa-miR-142-3p","SLC7A11","0","0","0","0","1","0","0","0","1","1"
"MIRT439636","hsa","hsa","hsa-miR-142-3p","SIK2","0","0","0","0","1","0","0","0","1","1"
"MIRT439638","hsa","hsa","hsa-miR-142-3p","SIK1","0","0","0","0","1","0","0","0","1","1"
"MIRT439646","hsa","hsa","hsa-miR-142-3p","SGMS1","0","0","0","0","1","0","0","0","1","1"
"MIRT439755","hsa","hsa","hsa-miR-142-3p","RNF38","0","0","0","0","1","0","0","0","1","1"
"MIRT439769","hsa","hsa","hsa-miR-142-3p","RICTOR","0","1","1","0","1","0","0","0","3","1"
"MIRT439855","hsa","hsa","hsa-miR-142-3p","PUM1","0","0","0","0","1","0","0","0","1","1"
"MIRT439883","hsa","hsa","hsa-miR-142-3p","PSMD11","0","0","0","0","1","0","0","0","1","1"
"MIRT439919","hsa","hsa","hsa-miR-142-3p","PPP1R2","0","0","0","0","1","0","0","0","1","1"
"MIRT439925","hsa","hsa","hsa-miR-142-3p","PPFIA1","0","0","0","0","1","0","0","0","1","1"
"MIRT439973","hsa","hsa","hsa-miR-142-3p","PIK3CG","0","0","0","0","1","0","0","0","1","1"
"MIRT440010","hsa","hsa","hsa-miR-142-3p","PDSS2","0","0","0","0","1","0","0","0","1","1"
"MIRT440076","hsa","hsa","hsa-miR-142-3p","NUDT8","0","0","0","0","1","0","0","0","1","1"
"MIRT440094","hsa","hsa","hsa-miR-142-3p","NR2F6","0","0","0","0","1","0","0","0","1","1"
"MIRT440096","hsa","hsa","hsa-miR-142-3p","NR2C1","0","0","0","0","1","0","0","0","1","1"
"MIRT440172","hsa","hsa","hsa-miR-142-3p","MTUS1","0","0","0","0","1","0","0","0","1","1"
"MIRT440201","hsa","hsa","hsa-miR-142-3p","MTMR9","0","0","0","0","1","0","0","0","1","1"
"MIRT440218","hsa","hsa","hsa-miR-142-3p","MRFAP1","0","0","0","0","1","0","0","0","1","1"
"MIRT440226","hsa","hsa","hsa-miR-142-3p","MMD","0","0","0","0","1","0","0","0","1","1"
"MIRT440256","hsa","hsa","hsa-miR-142-3p","MEF2D","0","0","0","0","1","0","0","0","1","1"
"MIRT440367","hsa","hsa","hsa-miR-142-3p","KIF5B","0","0","0","0","1","0","0","1","2","3"
"MIRT440429","hsa","hsa","hsa-miR-142-3p","IRAK1","0","0","0","0","1","0","0","0","1","1"
"MIRT440452","hsa","hsa","hsa-miR-142-3p","INPP5F","0","0","0","0","1","0","0","0","1","1"
"MIRT440484","hsa","hsa","hsa-miR-142-3p","HSD17B4","0","0","0","0","1","0","0","0","1","1"
"MIRT440503","hsa","hsa","hsa-miR-142-3p","HIST1H4D","0","0","0","0","1","0","0","0","1","1"
"MIRT440544","hsa","hsa","hsa-miR-142-3p","GOLGA1","0","0","0","0","1","0","0","0","1","1"
"MIRT440549","hsa","hsa","hsa-miR-142-3p","GNB2","0","0","0","0","1","0","0","0","1","1"
"MIRT440565","hsa","hsa","hsa-miR-142-3p","GLCE","0","0","0","0","1","0","0","0","1","1"
"MIRT440577","hsa","hsa","hsa-miR-142-3p","GFI1","0","0","0","0","1","0","0","0","1","1"
"MIRT440602","hsa","hsa","hsa-miR-142-3p","FYCO1","0","0","0","0","1","0","0","0","1","1"
"MIRT440717","hsa","hsa","hsa-miR-142-3p","EPM2AIP1","0","0","0","0","1","0","0","0","1","1"
"MIRT440747","hsa","hsa","hsa-miR-142-3p","EEF2K","0","0","0","0","1","0","0","0","1","1"
"MIRT440827","hsa","hsa","hsa-miR-142-3p","DEPDC1","0","0","0","0","1","0","0","0","1","1"
"MIRT440855","hsa","hsa","hsa-miR-142-3p","CUL5","0","0","0","0","1","0","0","0","1","1"
"MIRT440881","hsa","hsa","hsa-miR-142-3p","CREB3L2","0","0","0","0","1","0","0","0","1","1"
"MIRT441026","hsa","hsa","hsa-miR-142-3p","CALM1","0","0","0","0","1","0","0","0","1","1"
"MIRT441074","hsa","hsa","hsa-miR-142-3p","FAM222B","0","0","0","0","1","0","0","0","1","1"
"MIRT441096","hsa","hsa","hsa-miR-142-3p","BTBD7","0","0","0","0","1","0","0","0","1","1"
"MIRT441110","hsa","hsa","hsa-miR-142-3p","BCLAF1","0","0","0","0","1","0","0","0","1","1"
"MIRT441125","hsa","hsa","hsa-miR-142-3p","SLC7A9","0","0","0","0","1","0","0","0","1","1"
"MIRT441152","hsa","hsa","hsa-miR-142-3p","ATP2B1","0","0","0","0","1","0","0","0","1","1"
"MIRT441240","hsa","hsa","hsa-miR-142-3p","AKT1S1","0","0","0","0","1","0","0","0","1","1"
"MIRT441251","hsa","hsa","hsa-miR-142-3p","AFF4","0","0","0","0","1","0","0","0","1","1"
"MIRT441285","hsa","hsa","hsa-miR-142-3p","ACSL4","0","0","0","0","1","0","0","0","1","1"
"MIRT441290","hsa","hsa","hsa-miR-142-3p","ACSL1","0","0","0","0","1","0","0","0","1","1"
"MIRT441299","hsa","hsa","hsa-miR-142-3p","ACACA","0","0","0","0","1","0","0","0","1","1"
"MIRT441592","hsa","hsa","hsa-miR-142-3p","PSTK","0","0","0","0","1","0","0","1","2","2"
"MIRT441947","hsa","hsa","hsa-miR-142-5p","PEX2","0","0","0","0","1","0","0","1","2","2"
"MIRT442177","hsa","hsa","hsa-miR-142-5p","TRIM59","0","0","0","0","1","0","0","1","2","4"
"MIRT442461","hsa","hsa","hsa-miR-142-3p","SLC25A13","0","0","0","0","1","0","0","1","2","2"
"MIRT442622","hsa","hsa","hsa-miR-142-3p","LOX","0","0","0","0","1","0","0","1","2","2"
"MIRT442761","hsa","hsa","hsa-miR-142-5p","NRIP3","0","0","0","0","1","0","0","1","2","2"
"MIRT443098","hsa","hsa","hsa-miR-142-3p","RNF20","0","0","0","0","1","0","0","1","2","2"
"MIRT443706","hsa","hsa","hsa-miR-142-5p","LLPH","0","0","0","0","1","0","0","1","2","2"
"MIRT444053","hsa","hsa","hsa-miR-142-5p","PROX2","0","0","0","0","1","0","0","1","2","2"
"MIRT444058","hsa","hsa","hsa-miR-142-3p","SERPINA4","0","0","0","0","1","0","0","1","2","2"
"MIRT444528","hsa","hsa","hsa-miR-142-5p","EIF2A","0","0","0","0","1","0","0","1","2","2"
"MIRT444636","hsa","hsa","hsa-miR-142-3p","HSBP1","0","0","0","0","1","0","0","1","2","2"
"MIRT444919","hsa","hsa","hsa-miR-199b-5p","PSG11","0","0","0","0","1","0","0","1","2","2"
"MIRT444952","hsa","hsa","hsa-miR-142-5p","SLC38A1","0","0","0","0","1","0","0","1","2","2"
"MIRT446711","hsa","hsa","hsa-miR-142-5p","FUT10","0","0","0","0","1","0","0","1","2","2"
"MIRT446722","hsa","hsa","hsa-miR-199b-5p","PSG3","0","0","0","0","1","0","0","1","2","2"
"MIRT446866","hsa","hsa","hsa-miR-142-3p","NBPF3","0","0","0","0","1","0","0","1","2","2"
"MIRT447003","hsa","hsa","hsa-miR-142-5p","STOX2","0","0","0","0","1","0","0","1","2","2"
"MIRT447573","hsa","hsa","hsa-miR-142-3p","CDC14B","0","0","0","0","1","0","0","1","2","2"
"MIRT448347","hsa","hsa","hsa-miR-142-5p","TSR1","0","0","0","0","1","0","0","1","2","6"
"MIRT448846","hsa","hsa","hsa-miR-142-5p","FEM1C","0","0","0","0","1","0","0","1","2","10"
"MIRT448984","hsa","hsa","hsa-miR-142-5p","BAG2","0","0","0","0","1","0","0","1","2","2"
"MIRT450392","hsa","hsa","hsa-miR-142-3p","CHRNA6","0","0","0","0","1","0","0","1","2","2"
"MIRT450544","hsa","hsa","hsa-miR-142-5p","SHFM1","0","0","0","0","1","0","0","1","2","2"
"MIRT450753","hsa","hsa","hsa-miR-142-3p","POLI","0","0","0","0","1","0","0","1","2","2"
"MIRT451108","hsa","hsa","hsa-miR-142-3p","RPS19","0","0","0","0","1","0","0","1","2","2"
"MIRT451198","hsa","hsa","hsa-miR-199b-5p","PIN1","0","0","0","0","1","0","0","1","2","2"
"MIRT452705","hsa","hsa","hsa-miR-199b-5p","C1orf226","0","0","0","0","1","0","0","1","2","2"
"MIRT453347","hsa","hsa","hsa-miR-199b-5p","PLEKHG2","0","0","0","0","1","0","0","1","2","2"
"MIRT454085","hsa","hsa","hsa-miR-142-3p","TMEM209","0","0","0","0","1","0","0","1","2","2"
"MIRT455882","hsa","hsa","hsa-miR-142-5p","KIF2C","0","0","0","0","1","0","0","1","2","2"
"MIRT456654","hsa","hsa","hsa-miR-142-3p","TIFA","0","0","0","0","1","0","0","1","2","2"
"MIRT457488","hsa","hsa","hsa-miR-142-3p","SLC35F6","0","0","0","0","1","0","0","1","2","2"
"MIRT458148","hsa","hsa","hsa-miR-142-3p","LYRM4","0","0","0","0","1","0","0","1","2","6"
"MIRT460284","hsa","hsa","hsa-miR-199b-5p","PDE11A","0","0","0","0","1","0","0","1","2","2"
"MIRT463336","hsa","hsa","hsa-miR-142-5p","ZFHX3","0","0","0","0","1","0","0","1","2","2"
"MIRT463775","hsa","hsa","hsa-miR-142-3p","YOD1","0","0","0","0","1","0","0","1","2","2"
"MIRT463973","hsa","hsa","hsa-miR-142-3p","WHSC1","0","0","0","0","1","0","0","1","2","4"
"MIRT464486","hsa","hsa","hsa-miR-142-3p","UCK2","0","0","0","0","1","0","0","1","2","2"
"MIRT465231","hsa","hsa","hsa-miR-142-5p","TRIP10","0","0","0","0","1","0","0","1","2","2"
"MIRT466444","hsa","hsa","hsa-miR-142-5p","TFAM","0","0","0","0","1","0","0","1","2","8"
"MIRT466693","hsa","hsa","hsa-miR-142-5p","TAF13","0","0","0","0","1","0","0","1","2","4"
"MIRT466842","hsa","hsa","hsa-miR-142-3p","STX6","0","0","0","0","1","0","0","1","2","2"
"MIRT467074","hsa","hsa","hsa-miR-142-3p","SRRD","0","0","0","0","1","0","0","1","2","4"
"MIRT467246","hsa","hsa","hsa-miR-142-3p","SPPL2A","0","0","0","0","1","0","0","1","2","2"
"MIRT467426","hsa","hsa","hsa-miR-199b-5p","SNTB1","0","0","0","0","1","0","0","1","2","4"
"MIRT467574","hsa","hsa","hsa-miR-142-5p","SLITRK4","0","0","0","0","1","0","0","1","2","2"
"MIRT467692","hsa","hsa","hsa-miR-199b-5p","SLC38A2","0","0","0","0","1","0","0","1","2","4"
"MIRT467700","hsa","hsa","hsa-miR-142-5p","SLC38A2","0","0","0","0","1","0","0","1","2","4"
"MIRT467894","hsa","hsa","hsa-miR-142-5p","SLC22A23","0","0","0","0","1","0","0","1","2","2"
"MIRT468520","hsa","hsa","hsa-miR-199b-5p","SESN2","0","0","0","0","1","0","0","1","2","2"
"MIRT469383","hsa","hsa","hsa-miR-199b-5p","RER1","0","0","0","0","1","0","0","1","2","2"
"MIRT470461","hsa","hsa","hsa-miR-142-3p","PPP1R15B","0","0","0","0","1","0","0","1","2","2"
"MIRT470852","hsa","hsa","hsa-miR-199b-5p","PLXND1","0","0","0","0","1","0","0","1","2","2"
"MIRT471488","hsa","hsa","hsa-miR-142-5p","PDE4D","0","0","0","0","1","0","0","1","2","4"
"MIRT473743","hsa","hsa","hsa-miR-199b-5p","MAP3K9","0","0","0","0","1","0","0","1","2","2"
"MIRT474689","hsa","hsa","hsa-miR-142-3p","KIF5A","0","0","0","0","1","0","0","1","2","2"
"MIRT475470","hsa","hsa","hsa-miR-142-5p","HSPA8","0","0","0","0","1","0","0","1","2","6"
"MIRT475968","hsa","hsa","hsa-miR-142-5p","GXYLT1","0","0","0","0","1","0","0","1","2","4"
"MIRT477141","hsa","hsa","hsa-miR-142-5p","FAM107B","0","0","0","0","1","0","0","1","2","6"
"MIRT477480","hsa","hsa","hsa-miR-142-3p","ELL2","0","0","0","0","1","0","0","1","2","2"
"MIRT477785","hsa","hsa","hsa-miR-199b-5p","E2F3","0","0","0","0","1","0","0","1","2","2"
"MIRT477821","hsa","hsa","hsa-miR-142-3p","DYRK3","0","0","0","0","1","0","0","1","2","2"
"MIRT478677","hsa","hsa","hsa-miR-142-3p","CSRP2","0","0","0","0","1","0","0","1","2","4"
"MIRT478954","hsa","hsa","hsa-miR-199b-5p","COX15","0","0","0","0","1","0","0","1","2","2"
"MIRT480474","hsa","hsa","hsa-miR-142-5p","","0","0","0","0","1","0","0","0","1","4"
"MIRT480560","hsa","hsa","hsa-miR-142-5p","BZW1","0","0","0","0","1","0","0","1","2","2"
"MIRT481343","hsa","hsa","hsa-miR-142-5p","ATL3","0","0","0","0","1","0","0","1","2","2"
"MIRT484256","hsa","hsa","hsa-miR-142-3p","FZD7","0","0","0","0","1","0","0","1","2","4"
"MIRT484820","hsa","hsa","hsa-miR-142-5p","ZNFX1","0","0","0","0","1","0","0","1","2","2"
"MIRT484915","hsa","hsa","hsa-miR-142-5p","ZFYVE26","0","0","0","0","1","0","0","1","2","4"
"MIRT485185","hsa","hsa","hsa-miR-142-5p","PTP4A1","0","0","0","0","1","0","0","1","2","4"
"MIRT485850","hsa","hsa","hsa-miR-142-5p","ALG9","0","0","0","0","1","0","0","1","2","2"
"MIRT486184","hsa","hsa","hsa-miR-142-5p","ERH","0","0","0","0","1","0","0","1","2","4"
"MIRT486475","hsa","hsa","hsa-miR-199b-5p","TSC22D1","0","0","0","0","1","0","0","1","2","2"
"MIRT486705","hsa","hsa","hsa-miR-142-3p","TROVE2","0","0","0","0","1","0","0","1","2","4"
"MIRT488422","hsa","hsa","hsa-miR-142-3p","COPA","0","0","0","0","1","0","0","1","2","2"
"MIRT488446","hsa","hsa","hsa-miR-142-3p","ACBD3","0","0","0","0","1","0","0","1","2","2"
"MIRT488721","hsa","hsa","hsa-miR-142-3p","ADPRHL1","0","0","0","0","1","0","0","1","2","2"
"MIRT488793","hsa","hsa","hsa-miR-142-3p","MALT1","0","0","0","0","1","0","0","1","2","2"
"MIRT489318","hsa","hsa","hsa-miR-142-3p","PEX26","0","0","0","0","1","0","0","1","2","2"
"MIRT490876","hsa","hsa","hsa-miR-142-3p","OSBP","0","0","0","0","1","0","0","1","2","2"
"MIRT490996","hsa","hsa","hsa-miR-142-5p","PEBP1","0","0","0","0","1","0","0","1","2","4"
"MIRT491780","hsa","hsa","hsa-miR-142-3p","ZNF24","0","0","0","0","1","0","0","1","2","2"
"MIRT491909","hsa","hsa","hsa-miR-142-3p","YWHAE","0","0","0","0","1","0","0","1","2","2"
"MIRT491913","hsa","hsa","hsa-miR-142-3p","XIAP","0","0","0","0","1","0","0","1","2","2"
"MIRT491962","hsa","hsa","hsa-miR-142-3p","VPS52","0","0","0","0","1","0","0","1","2","2"
"MIRT491971","hsa","hsa","hsa-miR-142-3p","USP37","0","0","0","0","1","0","0","1","2","2"
"MIRT492062","hsa","hsa","hsa-miR-142-3p","TMEM245","0","0","0","0","1","0","0","1","2","2"
"MIRT492073","hsa","hsa","hsa-miR-142-3p","TMED7","0","0","0","0","1","0","0","1","2","2"
"MIRT492243","hsa","hsa","hsa-miR-142-3p","SLC39A9","0","0","0","0","1","0","0","1","2","2"
"MIRT492415","hsa","hsa","hsa-miR-142-5p","SCARB2","0","0","0","0","1","0","0","1","2","2"
"MIRT492431","hsa","hsa","hsa-miR-142-3p","RGL2","0","0","0","0","1","0","0","1","2","2"
"MIRT492586","hsa","hsa","hsa-miR-142-3p","PPIL4","0","0","0","0","1","0","0","1","2","2"
"MIRT492979","hsa","hsa","hsa-miR-142-3p","NCK2","0","0","0","0","1","0","0","1","2","2"
"MIRT493064","hsa","hsa","hsa-miR-142-3p","MTFR1","0","0","0","0","1","0","0","1","2","2"
"MIRT493074","hsa","hsa","hsa-miR-142-3p","MTCH1","0","0","0","0","1","0","0","1","2","2"
"MIRT493092","hsa","hsa","hsa-miR-142-3p","MMGT1","0","0","0","0","1","0","0","1","2","12"
"MIRT493334","hsa","hsa","hsa-miR-142-5p","LAPTM4A","0","0","0","0","1","0","0","1","2","12"
"MIRT493502","hsa","hsa","hsa-miR-142-3p","IPMK","0","0","0","0","1","0","0","1","2","2"
"MIRT493516","hsa","hsa","hsa-miR-142-3p","IL6ST","0","0","0","0","1","0","0","1","2","4"
"MIRT493747","hsa","hsa","hsa-miR-142-3p","GOLT1B","0","0","0","0","1","0","0","1","2","2"
"MIRT493835","hsa","hsa","hsa-miR-142-3p","FRS2","0","0","0","0","1","0","0","1","2","6"
"MIRT493926","hsa","hsa","hsa-miR-142-3p","FAM127B","0","0","0","0","1","0","0","1","2","4"
"MIRT494004","hsa","hsa","hsa-miR-142-3p","ECT2","0","0","0","0","1","0","0","1","2","2"
"MIRT494072","hsa","hsa","hsa-miR-142-5p","DUSP2","0","0","0","0","1","0","0","1","2","4"
"MIRT494152","hsa","hsa","hsa-miR-142-3p","CPEB2","0","0","0","0","1","0","0","1","2","2"
"MIRT494267","hsa","hsa","hsa-miR-199b-5p","CEP120","0","0","0","0","1","0","0","1","2","2"
"MIRT494271","hsa","hsa","hsa-miR-142-5p","CEP120","0","0","0","0","1","0","0","1","2","2"
"MIRT494317","hsa","hsa","hsa-miR-142-3p","CDKN1B","0","0","0","0","1","0","0","1","2","2"
"MIRT494451","hsa","hsa","hsa-miR-142-3p","BTG2","0","0","0","0","1","0","0","1","2","2"
"MIRT494556","hsa","hsa","hsa-miR-142-3p","BAK1","0","0","0","0","1","0","0","1","2","2"
"MIRT494581","hsa","hsa","hsa-miR-142-3p","ATG9A","0","0","0","0","1","0","0","1","2","2"
"MIRT494674","hsa","hsa","hsa-miR-142-3p","ARL5B","0","0","0","0","1","0","0","1","2","2"
"MIRT497441","hsa","hsa","hsa-miR-199b-5p","SLC16A10","0","0","0","0","1","0","0","1","2","2"
"MIRT497475","hsa","hsa","hsa-miR-142-3p","TOR1AIP2","0","0","0","0","1","0","0","1","2","2"
"MIRT498020","hsa","hsa","hsa-miR-142-5p","ZBTB20","0","0","0","0","1","0","0","1","2","2"
"MIRT498093","hsa","hsa","hsa-miR-142-5p","SEMA7A","0","0","0","0","1","0","0","1","2","2"
"MIRT498198","hsa","hsa","hsa-miR-142-3p","AKR1B10","0","0","0","0","1","0","0","1","2","2"
"MIRT498551","hsa","hsa","hsa-miR-142-5p","TMEM30B","0","0","0","0","1","0","0","1","2","2"
"MIRT498788","hsa","hsa","hsa-miR-142-5p","FAM71F2","0","0","0","0","1","0","0","1","2","8"
"MIRT500051","hsa","hsa","hsa-miR-142-3p","S100A11","0","0","0","0","1","0","0","1","2","2"
"MIRT500979","hsa","hsa","hsa-miR-142-5p","SPPL2A","0","0","0","0","1","0","0","1","2","4"
"MIRT501463","hsa","hsa","hsa-miR-142-5p","PTPN4","0","0","0","0","1","0","0","1","2","8"
"MIRT502461","hsa","hsa","hsa-miR-142-5p","FRAT2","0","0","0","0","1","0","0","1","2","6"
"MIRT502512","hsa","hsa","hsa-miR-142-3p","ESR1","0","0","0","0","1","0","0","1","2","2"
"MIRT503642","hsa","hsa","hsa-miR-199b-5p","POLR2F","0","0","0","0","1","0","0","1","2","4"
"MIRT504126","hsa","hsa","hsa-miR-199b-5p","RCC1","0","0","0","0","1","0","0","1","2","6"
"MIRT504634","hsa","hsa","hsa-miR-142-3p","MFSD8","0","0","0","0","1","0","0","1","2","6"
"MIRT505561","hsa","hsa","hsa-miR-142-5p","SMUG1","0","0","0","0","1","0","0","1","2","2"
"MIRT506219","hsa","hsa","hsa-miR-142-3p","PHF12","0","0","0","0","1","0","0","1","2","2"
"MIRT506496","hsa","hsa","hsa-miR-142-3p","MSANTD4","0","0","0","0","1","0","0","1","2","2"
"MIRT506656","hsa","hsa","hsa-miR-142-5p","MAPK1","0","0","0","0","1","0","0","1","2","4"
"MIRT506681","hsa","hsa","hsa-miR-142-5p","LZIC","0","0","0","0","1","0","0","1","2","4"
"MIRT506968","hsa","hsa","hsa-miR-142-5p","HOXA10","0","0","0","0","1","0","0","1","2","6"
"MIRT507240","hsa","hsa","hsa-miR-142-5p","FIGN","0","0","0","0","1","0","0","1","2","8"
"MIRT507418","hsa","hsa","hsa-miR-142-5p","ELK4","0","0","0","0","1","0","0","1","2","4"
"MIRT507535","hsa","hsa","hsa-miR-142-3p","DNAJB6","0","0","0","0","1","0","0","1","2","6"
"MIRT507830","hsa","hsa","hsa-miR-142-5p","CD55","0","0","0","0","1","0","0","1","2","4"
"MIRT508200","hsa","hsa","hsa-miR-142-3p","SLC35E1","0","0","0","0","1","0","0","1","2","2"
"MIRT511293","hsa","hsa","hsa-miR-142-3p","KLHL15","0","0","0","0","1","0","0","1","2","4"
"MIRT511401","hsa","hsa","hsa-miR-142-3p","IFNAR2","0","0","0","0","1","0","0","1","2","6"
"MIRT512223","hsa","hsa","hsa-miR-142-3p","ATXN3","0","0","0","0","1","0","0","1","2","6"
"MIRT512483","hsa","hsa","hsa-miR-142-3p","VAPB","0","0","0","0","1","0","0","1","2","2"
"MIRT513105","hsa","hsa","hsa-miR-199b-5p","DYNAP","0","0","0","0","1","0","0","1","2","2"
"MIRT513400","hsa","hsa","hsa-miR-199b-5p","PAX8","0","0","0","0","1","0","0","1","2","2"
"MIRT513459","hsa","hsa","hsa-miR-142-5p","NARS","0","0","0","0","1","0","0","1","2","6"
"MIRT513937","hsa","hsa","hsa-miR-199b-5p","EXTL3","0","0","0","0","1","0","0","1","2","4"
"MIRT513987","hsa","hsa","hsa-miR-142-5p","CEP97","0","0","0","0","1","0","0","1","2","2"
"MIRT514689","hsa","hsa","hsa-miR-142-5p","ZNF701","0","0","0","0","1","0","0","1","2","6"
"MIRT514749","hsa","hsa","hsa-miR-142-5p","ACER3","0","0","0","0","1","0","0","1","2","8"
"MIRT516733","hsa","hsa","hsa-miR-199b-5p","ZNF669","0","0","0","0","1","0","0","1","2","6"
