"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","Gene.ID","condition"
"A_24_P224966",1.15983807297256e-11,6.85709314275792e-14,-11.672082690809,21.60697070825,-3.24769852941176,"CLCNKB","chloride voltage-gated channel Kb","1188",TRUE
"A_23_P128323",1.18493295647114e-11,7.04030993608948e-14,-11.661480294176,21.5809087404813,-3.43266830064706,"SCNN1A","sodium channel epithelial 1 alpha subunit","6337",TRUE
"A_23_P204721",1.24715106777935e-11,7.52002967512107e-14,-11.6350005787821,21.5157536367724,-4.32581862747059,"AQP2","aquaporin 2","359",TRUE
"A_23_P10121",1.27363083832914e-11,7.71715844154958e-14,-11.6246156227374,21.4901754922945,-4.81518823529412,"SFRP1","secreted frizzled related protein 1","6422",TRUE
"A_23_P160800",1.29602160562977e-11,7.89094865478445e-14,-11.6156822348442,21.4681611633063,-2.894,"NR0B2","nuclear receptor subfamily 0 group B member 2","8431",TRUE
"A_23_P348636",1.37673866888433e-11,8.42289673298252e-14,-11.5895362537806,21.4036696634659,-2.43871045752941,"FOXJ1","forkhead box J1","2302",TRUE
"A_23_P307860",1.37920512075238e-11,8.49065055751976e-14,-11.5863276409641,21.3957490951215,-3.44247058823529,"SVOPL","SVOP like","136306",TRUE
"A_24_P406006",1.37920512075238e-11,8.5191209882346e-14,11.5849871561058,21.3924396600847,2.07082352941176,"LPCAT1","lysophosphatidylcholine acyltransferase 1","79888",TRUE
"A_23_P169351",1.41200172784136e-11,8.76323208937372e-14,-11.5736777277,21.3645090937798,-4.02879656864706,"SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1","6456",TRUE
"A_24_P168925",1.53147257133279e-11,9.59478962568048e-14,-11.5374309890865,21.2748775199399,-5.43282553682353,"CHRDL1","chordin like 1","91851",TRUE
"A_24_P205045",1.70794856914493e-11,1.08008983577316e-13,-11.4901872326722,21.1577910662206,-2.32944367411765,"ERC2","ELKS/RAB6-interacting/CAST family member 2","26059",TRUE
"A_23_P216556",1.72944100662285e-11,1.09876833175638e-13,-11.4833556712207,21.140835589738,-4.06531176470588,"EPB41L4B","erythrocyte membrane protein band 4.1 like 4B","54566",TRUE
"A_23_P330461",1.81870907652179e-11,1.16963514516182e-13,-11.4584721051644,21.0790238859433,-2.38703267976471,"TMC4","transmembrane channel like 4","147798",TRUE
"A_23_P300033",1.971410052453e-11,1.28729052192649e-13,-11.4203733849482,20.9842259179196,-4.46601008405882,"PDGFRA","platelet derived growth factor receptor alpha","5156",TRUE
"A_23_P146146",2.00911978013741e-11,1.32964277466592e-13,-11.4075228292194,20.9522074114492,-5.76632467311765,"ATP6V0D2","ATPase H+ transporting V0 subunit d2","245972",TRUE
"A_23_P126782",2.01914995944669e-11,1.34221980950336e-13,-11.4037870105527,20.9428951079827,-3.75880149394118,"F3","coagulation factor III, tissue factor","2152",TRUE
"A_23_P423482",2.0288589074834e-11,1.35960536610457e-13,-11.3986812677274,20.9301649822144,-2.21813235294118,"FAM81A","family with sequence similarity 81 member A","145773",TRUE
"A_32_P186364",2.14125283277335e-11,1.44857977392162e-13,-11.3735522690814,20.8674604212441,-4.35198235294118,"C14orf37","chromosome 14 open reading frame 37","145407",TRUE
"A_23_P321892",2.14426524035745e-11,1.45692473240359e-13,-11.3712766782284,20.8617779742611,-5.95647058823529,"HRG","histidine rich glycoprotein","3273",TRUE
"A_32_P217901",2.15681384681428e-11,1.4717948481114e-13,-11.3672544964682,20.8517323760498,-4.99506722682353,"BMPR1B","bone morphogenetic protein receptor type 1B","658",TRUE
"A_32_P515920",2.41879138270344e-11,1.66479552783283e-13,-11.3185135707269,20.7298282329549,-4.27302941176471,"LINC00675","long intergenic non-protein coding RNA 675","100289255",TRUE
"A_24_P324565",2.52133948527209e-11,1.75742786112726e-13,11.2971321356749,20.6762519931751,2.06830588235294,"SCARB1","scavenger receptor class B member 1","949",TRUE
"A_23_P117464",2.52133948527209e-11,1.75762532504702e-13,-11.2970877954385,20.6761408248809,-2.76053267976471,"TPPP2","tubulin polymerization promoting protein family member 2","122664",TRUE
"A_24_P102082",2.52877902095491e-11,1.77300563630653e-13,-11.2936496867098,20.6675201200061,-3.44447549017647,"PDE1A","phosphodiesterase 1A","5136",TRUE
"A_23_P167293",2.52877902095491e-11,1.79432568533384e-13,-11.288933784382,20.6556929138358,-2.26254269370588,"SCOC","short coiled-coil protein","60592",TRUE
"A_23_P416395",2.52877902095491e-11,1.80638296162947e-13,11.2862920006174,20.6490661786017,3.99382352941176,"STC2","stanniocalcin 2","8614",TRUE
"A_23_P142815",2.52877902095491e-11,1.80743956142138e-13,-11.2860613542004,20.6484875735237,-4.04784033611765,"ATP6V1B1","ATPase H+ transporting V1 subunit B1","525",TRUE
"A_23_P411723",2.71313166428268e-11,1.976415846761e-13,-11.2508408558912,20.5600492689474,-2.61391764705882,"PLAG1","PLAG1 zinc finger","5324",TRUE
"A_24_P911132",2.71313166428268e-11,1.97910657315755e-13,-11.2503051946172,20.5587029504759,-3.16179596170588,"SLC12A1","solute carrier family 12 member 1","6557",TRUE
"A_23_P202810",2.73775217728889e-11,2.00511880741495e-13,-11.2451647298761,20.5457810785912,-4.03717647058823,"OVOL1","ovo like transcriptional repressor 1","5017",TRUE
"A_23_P134953",2.88620888223681e-11,2.12233725677746e-13,11.2228139684178,20.4895556854404,2.54575816994118,"PLIN2","perilipin 2","123",TRUE
"A_24_P941947",2.90650056000677e-11,2.14580751974146e-13,11.2184902860991,20.4786713598946,2.85105882352941,"LPCAT1","lysophosphatidylcholine acyltransferase 1","79888",TRUE
"A_32_P20439",2.92737245336056e-11,2.18704807092647e-13,-11.2110085052483,20.45983101624,-3.17444117647059,"MCCD1","mitochondrial coiled-coil domain 1","401250",TRUE
"A_23_P120504",3.02515276782457e-11,2.26899804634174e-13,11.1965590926278,20.4234238573565,2.06811241829412,"TMEM74B","transmembrane protein 74B","55321",TRUE
"A_32_P131347",3.05697732163465e-11,2.30185950449577e-13,-11.1909138935802,20.4091924657326,-4.07218699805883,"FAM83B","family with sequence similarity 83 member B","222584",TRUE
"A_24_P256764",3.16809765159377e-11,2.3948499807624e-13,-11.1753738280739,20.3699943698763,-2.14257450982353,"MYH10","myosin, heavy chain 10, non-muscle","4628",TRUE
"A_23_P139500",3.1889135698181e-11,2.41996500092085e-13,11.171282212026,20.3596683479724,3.02750980394118,"BHLHE41","basic helix-loop-helix family member e41","79365",TRUE
"A_32_P182299",3.26137735502068e-11,2.48454831151937e-13,-11.1609562832427,20.3335988142001,-3.66473447711765,"C1orf168","chromosome 1 open reading frame 168","199920",TRUE
"A_32_P119033",3.2850744560065e-11,2.51226354068384e-13,-11.1566086847756,20.3226183059632,-3.7359810457647,"PLCXD3","phosphatidylinositol specific phospholipase C X domain containing 3","345557",TRUE
"A_23_P70398",3.36462069791522e-11,2.5857742287237e-13,11.1453100414265,20.2940700652816,3.08854705882353,"VEGFA","vascular endothelial growth factor A","7422",TRUE
"A_23_P435394",3.36462069791522e-11,2.59288964896108e-13,-11.144233831862,20.291349919036,-2.15351960782353,"PTGER4","prostaglandin E receptor 4","5734",TRUE
"A_23_P129144",3.38660984722917e-11,2.61979642867602e-13,-11.140191221301,20.2811307356671,-2.28255256770588,"MYZAP","myocardial zonula adherens protein","100820829",TRUE
"A_23_P382584",3.43501414722035e-11,2.66734435809804e-13,-11.1331498147086,20.263325768121,-4.46611764705882,"CHGB","chromogranin B","1114",TRUE
"A_23_P251151",3.52018965113732e-11,2.7438386303647e-13,-11.1220859942048,20.235336272766,-5.44765882352941,"NELL1","neural EGFL like 1","4745",TRUE
"A_23_P203900",3.55658975622844e-11,2.78267214294007e-13,11.1165890454455,20.2214238743768,3.12465032682353,"SCARB1","scavenger receptor class B member 1","949",TRUE
"A_23_P20022",3.64265179472393e-11,2.87143561675985e-13,11.1043126470924,20.1903385396885,4.03061274511765,"HILPDA","hypoxia inducible lipid droplet associated","29923",TRUE
"A_24_P91991",3.66948848572444e-11,2.90338373627823e-13,-11.0999885500714,20.1793845903399,-3.72419150329412,"NAT8L","N-acetyltransferase 8 like","339983",TRUE
"A_32_P458096",3.67048735443468e-11,2.91497025030109e-13,-11.0984323220683,20.1754416875289,-2.49205882352941,"TBC1D24","TBC1 domain family member 24","57465",TRUE
"A_23_P45304",4.05136899378956e-11,3.25320235103403e-13,-11.0555843592082,20.0667533529064,-3.01282352941176,"XK","X-linked Kx blood group","7504",TRUE
"A_23_P103617",4.08559371352078e-11,3.29827627714896e-13,-11.0502201737653,20.0531291944045,-2.58317058823529,"ANXA9","annexin A9","8416",TRUE
"A_23_P52610",4.27946714594201e-11,3.47412474933818e-13,11.0299841278926,20.0016981758717,2.17722875817647,"DDB2","damage specific DNA binding protein 2","1643",TRUE
"A_23_P211110",4.42805453726001e-11,3.60777430090306e-13,-11.0152907650603,19.9643197503316,-4.36593137252941,"SIM2","single-minded family bHLH transcription factor 2","6493",TRUE
"A_23_P133712",4.49231244052511e-11,3.67334213326073e-13,-11.0082839556622,19.946484931811,-2.85659234364706,"CYP39A1","cytochrome P450 family 39 subfamily A member 1","51302",TRUE
"A_23_P153958",4.50149394972388e-11,3.69409027581906e-13,11.0060932710869,19.940907508888,3.64500653594118,"INHBB","inhibin beta B subunit","3625",TRUE
"A_23_P53476",4.56451785179298e-11,3.75923583299616e-13,-10.9992955461678,19.9235965852644,-2.20341176470588,"LDHB","lactate dehydrogenase B","3945",TRUE
"A_23_P214821",4.64845013401125e-11,3.84203331859863e-13,10.9908271728947,19.9020225480577,2.94764705882353,"EDN1","endothelin 1","1906",TRUE
"A_24_P237778",4.68302954301822e-11,3.89816271743678e-13,-10.9851915176151,19.8876598086322,-2.51803380011765,"MAN1C1","mannosidase alpha class 1C member 1","57134",TRUE
"A_23_P57155",4.8391229261668e-11,4.04343132280222e-13,-10.9709814844426,19.8514259122982,-2.95015882352941,"CHGB","chromogranin B","1114",TRUE
"A_23_P69810",5.05657292934511e-11,4.27080700166554e-13,-10.9497526015394,19.7972442405764,-3.49683660129412,"GPAT3","glycerol-3-phosphate acyltransferase 3","84803",TRUE
"A_24_P367602",5.05657292934511e-11,4.30775182923774e-13,10.9464124028384,19.7887136637522,3.38582352941176,"DUSP5P1","dual specificity phosphatase 5 pseudogene 1","574029",TRUE
"A_23_P125705",5.05657292934511e-11,4.31321298167563e-13,-10.945921136325,19.7874588853263,-4.05911078429412,"NAP1L2","nucleosome assembly protein 1 like 2","4674",TRUE
"A_32_P201212",5.40774327639632e-11,4.62866431387531e-13,-10.9185703310469,19.717549079491,-2.27238921570588,"CETN4P","centrin 4, pseudogene","729338",TRUE
"A_32_P108066",5.51944193494279e-11,4.75674006393976e-13,-10.9080042159354,19.6905147106254,-6.00455228752941,"SLC12A3","solute carrier family 12 member 3","6559",TRUE
"A_23_P334955",5.55319980033798e-11,4.82716369141857e-13,-10.9023172348362,19.6759578352425,-3.36703660129412,"FAM167A","family with sequence similarity 167 member A","83648",TRUE
"A_23_P57304",5.55319980033798e-11,4.83483481645991e-13,-10.9017028764209,19.6743850113883,-2.07058823529412,"TMEM50B","transmembrane protein 50B","757",TRUE
"A_23_P146134",5.5650183698962e-11,4.86149319330305e-13,-10.8995755831525,19.6689385187528,-4.10806617647059,"DUSP26","dual specificity phosphatase 26 (putative)","78986",TRUE
"A_23_P3681",5.6926227178556e-11,5.00645388740168e-13,10.8882121870432,19.6398345917571,3.16263529411765,"NETO2","neuropilin and tolloid like 2","81831",TRUE
"A_32_P130788",5.84927873502046e-11,5.17863668227884e-13,-10.8751428188946,19.6063398489314,-2.13341421570588,"SAMD13","sterile alpha motif domain containing 13","148418",TRUE
"A_23_P393051",6.15206840714332e-11,5.5009965167703e-13,-10.8518238031081,19.5465197703618,-3.18558823529412,"KDF1","keratinocyte differentiation factor 1","126695",TRUE
"A_24_P548866",6.18996474435138e-11,5.55308914355894e-13,-10.8481866792449,19.5371828884063,-2.23705730629412,"HIGD1A","HIG1 hypoxia inducible domain family member 1A","25994",TRUE
"A_23_P382775",6.29714804704789e-11,5.66905097424858e-13,10.8402135200592,19.5167087139003,2.23658823529412,"BBC3","BCL2 binding component 3","27113",TRUE
"A_23_P52198",6.35960841061452e-11,5.7613959364353e-13,-10.8339821848938,19.5007013889781,-2.30723725488235,"MPP7","membrane palmitoylated protein 7","143098",TRUE
"A_23_P351270",7.09527472455454e-11,6.44873195448954e-13,-10.7905719498428,19.3890421906941,-2.51773839870588,"PAPPA","pappalysin 1","5069",TRUE
"A_23_P307844",7.12510882450801e-11,6.49680491675241e-13,-10.7877145839102,19.3816836105657,-2.06328823529412,"PHYHD1","phytanoyl-CoA dioxygenase domain containing 1","254295",TRUE
"A_23_P154849",7.17655552653264e-11,6.56519025782835e-13,-10.783686801458,19.3713089864199,-3.97184873947059,"OLIG1","oligodendrocyte transcription factor 1","116448",TRUE
"A_24_P303052",7.17655552653264e-11,6.58593247919932e-13,-10.7824735673206,19.3681835511317,-2.13255480858824,"PPARGC1A","PPARG coactivator 1 alpha","10891",TRUE
"A_23_P5342",7.57719998158631e-11,6.97589150607835e-13,-10.7603619716,19.3111867072846,-2.07871106447059,"LRP1B","LDL receptor related protein 1B","53353",TRUE
"A_23_P207507",7.82827095002429e-11,7.23006376347911e-13,10.7466178880454,19.2757255128153,2.91952941176471,"ABCC3","ATP binding cassette subfamily C member 3","8714",TRUE
"A_23_P104555",7.90717793089336e-11,7.34945651556651e-13,-10.740330943307,19.259496041392,-2.37094117647059,"ANKRD2","ankyrin repeat domain 2","26287",TRUE
"A_32_P332320",8.06701001797131e-11,7.52174297222456e-13,-10.7314398381749,19.2365349492768,-2.45706274511765,"NOS1","nitric oxide synthase 1","4842",TRUE
"A_23_P43846",8.1618712260541e-11,7.63419921726338e-13,10.7257476111246,19.2218292974803,3.68441568629412,"FABP6","fatty acid binding protein 6","2172",TRUE
"A_24_P291658",8.56203268409112e-11,8.03367382265153e-13,-10.7061963760945,19.1712861574071,-3.99801678335294,"ADH1A","alcohol dehydrogenase 1A (class I), alpha polypeptide","124",TRUE
"A_23_P159974",8.83227466482836e-11,8.31321810913899e-13,-10.6930953244886,19.1373889568498,-2.58890441176471,"KLHL13","kelch like family member 13","90293",TRUE
"A_24_P294199",8.94866975513416e-11,8.44909403905543e-13,-10.6868886620546,19.1213219766281,-2.50739084964706,"PLCL1","phospholipase C like 1","5334",TRUE
"A_23_P156425",9.0749351899389e-11,8.62169558900602e-13,-10.679149473775,19.1012805201308,-2.16466722688235,"MAN1A1","mannosidase alpha class 1A member 1","4121",TRUE
"A_32_P19806",9.31583619790746e-11,8.87796613954355e-13,10.667945159623,19.0722514363278,2.45825126052941,"DNAH11","dynein axonemal heavy chain 11","8701",TRUE
"A_23_P167227",9.7642565559026e-11,9.33402959194172e-13,-10.6487974681147,19.0226027843258,-2.07994117647059,"HADH","hydroxyacyl-CoA dehydrogenase","3033",TRUE
"A_23_P304110",9.83422799498926e-11,9.48769569491287e-13,-10.6425599391936,19.0064186195351,-3.76273856211765,"SOWAHA","sosondowah ankyrin repeat domain family member A","134548",TRUE
"A_23_P391637",9.95310387260522e-11,9.63165825662426e-13,-10.6368089883379,18.9914923009028,-2.06610931370588,"TBC1D24","TBC1 domain family member 24","57465",TRUE
"A_32_P74964",1.02427418366911e-10,9.9420695514679e-13,-10.6247012482672,18.9600526531235,-2.21889663864706,"FAXC","failed axon connections homolog","84553",TRUE
"A_23_P204541",1.07944569079264e-10,1.05728400209997e-12,-10.601241769001,18.8990801429185,-4.16270588235294,"CNTN1","contactin 1","1272",TRUE
"A_32_P178879",1.10668070554424e-10,1.08721499985815e-12,-10.5906043488321,18.8714084168159,-2.12185609241176,"WNK3","WNK lysine deficient protein kinase 3","65267",TRUE
"A_24_P245358",1.18672785263898e-10,1.1833070829008e-12,-10.5583659852353,18.7874516598125,-2.196,"ATP5A1","ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle","498",TRUE
"A_24_P153754",1.19473128354705e-10,1.1948015659921e-12,-10.5546895513556,18.7778683970143,-2.14775128382353,"AP5M1","adaptor related protein complex 5 mu 1 subunit","55745",TRUE
"A_32_P12355",1.23593668622082e-10,1.24328003614189e-12,-10.5395706017593,18.7384390546331,-3.66775588235294,"LINC00864","long intergenic non-protein coding RNA 864","728218",TRUE
"A_23_P92583",1.28546970811356e-10,1.30445040678621e-12,-10.5213284282866,18.6908234540879,-3.67949857582353,"ERVMER34-1","endogenous retrovirus group MER34 member 1","100288413",TRUE
"A_24_P220485",1.29124815443936e-10,1.31411218729342e-12,10.5185270239428,18.6835072683449,2.49943884223529,"OLFML2A","olfactomedin like 2A","169611",TRUE
"A_24_P693986",1.36419392228533e-10,1.39236217140128e-12,-10.4965830373283,18.6261614047339,-2.68333613447059,"TRNP1","TMF1-regulated nuclear protein 1","388610",TRUE
"A_32_P193378",1.44051026611067e-10,1.47872840423738e-12,-10.4737763367895,18.5664921390791,-2.62236421570588,"PYGO1","pygopus family PHD finger 1","26108",TRUE
"A_23_P125596",1.44061290159701e-10,1.48307110876803e-12,-10.4726656720164,18.5635845092392,-2.53790114376471,"RPS6KA6","ribosomal protein S6 kinase A6","27330",TRUE
"A_24_P109214",1.4492522558419e-10,1.4962278422275e-12,10.4693208951531,18.5548271502032,3.49817647058824,"APOC1","apolipoprotein C1","341",TRUE
"A_23_P64873",1.52331976603213e-10,1.59509923144726e-12,-10.4451045270969,18.4913783410539,-5.81841176470588,"DCN","decorin","1634",TRUE
"A_23_P7194",1.56477627254219e-10,1.64311173980105e-12,-10.4338911332368,18.461971542418,-2.73722058823529,"LGI2","leucine rich repeat LGI family member 2","55203",TRUE
"A_32_P121059",1.56952325321987e-10,1.65271287914793e-12,-10.4316888539855,18.4561941350903,-2.06081699347059,"LOC100506125","uncharacterized LOC100506125","100506125",TRUE
"A_23_P403445",1.57284627400174e-10,1.66083832097954e-12,10.4298352230509,18.4513308560732,2.76864117647059,"CGREF1","cell growth regulator with EF-hand domain 1","10669",TRUE
"A_23_P159125",1.63761622941452e-10,1.73404859870942e-12,-10.4135389202139,18.4085550958136,-2.91281512605882,"SLC16A5","solute carrier family 16 member 5","9121",TRUE
"A_23_P79302",1.78719052856472e-10,1.9082009584946e-12,-10.3774307102403,18.3136478410141,-2.69897058823529,"LYPD6B","LY6/PLAUR domain containing 6B","130576",TRUE
"A_23_P383915",1.90769283915067e-10,2.05369603838209e-12,10.34975016647,18.2407728017447,3.21618823529412,"BTBD16","BTB domain containing 16","118663",TRUE
"A_24_P941339",2.09328620500486e-10,2.27196484983468e-12,-10.3117625229203,18.1405937530917,-3.46509803917647,"KCNE1","potassium voltage-gated channel subfamily E regulatory subunit 1","3753",TRUE
"A_23_P128375",2.12049440436405e-10,2.31396971592171e-12,-10.3048801165919,18.1224229911224,-2.00947058823529,"FAM222A","family with sequence similarity 222 member A","84915",TRUE
"A_32_P169406",2.13462565867526e-10,2.33566899531501e-12,-10.3013744135124,18.113164862123,-2.51312100841176,"LOC400043","uncharacterized LOC400043","400043",TRUE
"A_23_P155979",2.32148280425197e-10,2.56060959937199e-12,-10.2668720223863,18.0219598446284,-4.68648235294118,"EGF","epidermal growth factor","1950",TRUE
"A_23_P167030",2.34135531872315e-10,2.58941584752016e-12,-10.2626781781696,18.0108627206682,-2.51646323529412,"PTH1R","parathyroid hormone 1 receptor","5745",TRUE
"A_23_P109322",2.64121563058181e-10,2.95988927363865e-12,-10.2126148878345,17.8782095494878,-3.38788235294118,"PCP4","Purkinje cell protein 4","5121",TRUE
"A_32_P205110",2.68143447351755e-10,3.01284772305342e-12,-10.2059846872144,17.8606161013508,-2.08634640523529,"FOXC1","forkhead box C1","2296",TRUE
"A_24_P73769",2.68751362589204e-10,3.02758314817534e-12,-10.2041609617121,17.8557757484636,-2.81385163394118,"C16orf89","chromosome 16 open reading frame 89","146556",TRUE
"A_23_P60130",2.76489091957956e-10,3.13914905276108e-12,-10.1906394537753,17.8198743061679,-4.58564705882353,"MAL2","mal, T-cell differentiation protein 2 (gene/pseudogene)","114569",TRUE
"A_32_P63848",2.87272513304701e-10,3.29537855723376e-12,-10.1725052703093,17.7716868949507,-2.30538888888235,"OXCT1","3-oxoacid CoA-transferase 1","5019",TRUE
"A_23_P748",2.88188265467149e-10,3.31436001522605e-12,-10.170361894979,17.765988440459,-2.54308529411765,"IRF6","interferon regulatory factor 6","3664",TRUE
"A_24_P100996",2.88367650802592e-10,3.3249049683692e-12,-10.1691765587393,17.76283679718,-3.85737647058823,"ANO5","anoctamin 5","203859",TRUE
"A_23_P166823",2.92410059063603e-10,3.38011510124113e-12,-10.1630323272966,17.746497110786,-2.55370588235294,"TNNC1","troponin C1, slow skeletal and cardiac type","7134",TRUE
"A_23_P204654",2.98864684654382e-10,3.47230867811285e-12,-10.1529965583018,17.7197975085722,-2.34991596641176,"KITLG","KIT ligand","4254",TRUE
"A_23_P17844",2.99752696882496e-10,3.50312216052583e-12,-10.1497027394581,17.711031529956,-2.95376470588235,"PVALB","parvalbumin","5816",TRUE
"A_23_P52888",2.99752696882496e-10,3.50907622093163e-12,-10.1490696795696,17.7093465735892,-2.69704901964706,"MPPED2","metallophosphoesterase domain containing 2","744",TRUE
"A_32_P216635",3.35154289299357e-10,3.98265582907642e-12,-10.1019316418276,17.5837320072053,-2.79535522876471,"KSR2","kinase suppressor of ras 2","283455",TRUE
"A_23_P55198",3.40457452429747e-10,4.10295417881227e-12,-10.0908667679637,17.5542027079098,-2.40703342670588,"CNTD1","cyclin N-terminal domain containing 1","124817",TRUE
"A_23_P121716",3.40457452429747e-10,4.10321121095888e-12,-10.0908434818024,17.5541405457622,-3.71817647058823,"ANXA3","annexin A3","306",TRUE
"A_23_P434919",3.46718126255096e-10,4.19145684719231e-12,10.0829352789964,17.5330254652776,3.50532941176471,"RAB42","RAB42, member RAS oncogene family","115273",TRUE
"A_23_P209227",3.53259706976513e-10,4.28092826855472e-12,-10.0750884157122,17.5120658431312,-2.67762943511765,"CACNB4","calcium voltage-gated channel auxiliary subunit beta 4","785",TRUE
"A_23_P253345",3.63256507043529e-10,4.42344237649335e-12,-10.0629279552721,17.4795678752119,-2.62737647058823,"C8orf4","chromosome 8 open reading frame 4","56892",TRUE
"A_23_P89798",3.75985981724685e-10,4.6005696922604e-12,-10.0483582343792,17.440605130698,-2.17622058823529,"FECH","ferrochelatase","2235",TRUE
"A_23_P251836",3.80152583717934e-10,4.66273390818221e-12,-10.0433798872846,17.4272853538532,-2.70708578429412,"NPY5R","neuropeptide Y receptor Y5","4889",TRUE
"A_23_P118571",3.83148503475324e-10,4.71074988095433e-12,-10.0395806155556,17.4171180000292,-4.33386274511765,"SOST","sclerostin","50964",TRUE
"A_23_P163306",3.89533647028439e-10,4.82362684272524e-12,-10.0308022627981,17.3936185423622,-3.20952941176471,"CGNL1","cingulin like 1","84952",TRUE
"A_32_P52414",4.00942785583668e-10,5.01180214522806e-12,-10.0166227601211,17.3556384392916,-3.58648970588235,"RASSF10","Ras association domain family member 10","644943",TRUE
"A_23_P159671",4.05788533454877e-10,5.08459071862397e-12,10.0112827959527,17.3413282239777,2.29123529411765,"PHKA2","phosphorylase kinase regulatory subunit alpha 2","5256",TRUE
"A_23_P201066",4.1305768427663e-10,5.21212267058869e-12,-10.0021116365879,17.3167420991598,-2.67078300652941,"SUSD4","sushi domain containing 4","55061",TRUE
"A_23_P55544",4.27966469126917e-10,5.42542350119716e-12,-9.98727145426002,17.276934464957,-2.36720739958824,"CCBE1","collagen and calcium binding EGF domains 1","147372",TRUE
"A_23_P233",4.30020703959136e-10,5.47676230408571e-12,-9.98378829506365,17.2675868739008,-2.50492843135294,"FMO5","flavin containing monooxygenase 5","2330",TRUE
"A_23_P94380",4.45849026800443e-10,5.75382126786979e-12,-9.96554646184237,17.2186055048538,-3.66041045752941,"AIF1L","allograft inflammatory factor 1 like","83543",TRUE
"A_23_P43484",4.45849026800443e-10,5.75703637759263e-12,9.9653400638215,17.2180510473203,3.24882352941176,"CDKN2A","cyclin dependent kinase inhibitor 2A","1029",TRUE
"A_23_P49155",4.48745905478486e-10,5.81791466962865e-12,-9.96145389300127,17.2076103605646,-2.56852941176471,"CDH3","cadherin 3","1001",TRUE
"A_32_P38637",4.65081967618251e-10,6.04642125087556e-12,9.94722752166829,17.1693721265895,2.79388888888235,"KRBA1","KRAB-A domain containing 1","84626",TRUE
"A_32_P4262",4.77729342602216e-10,6.25300186652115e-12,-9.93482949560912,17.1360260414746,-2.38064215682353,"CFAP61","cilia and flagella associated protein 61","26074",TRUE
"A_23_P48350",4.93456118711739e-10,6.47336399039459e-12,-9.92205570089198,17.101647705031,-3.14680196076471,"CLDN10","claudin 10","9071",TRUE
"A_23_P42975",5.04520422030512e-10,6.6333498631578e-12,-9.91305604063024,17.0774136188955,-2.84817647058824,"PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","5577",TRUE
"A_23_P120982",5.04881144540831e-10,6.65294290117925e-12,-9.91196909009647,17.0744859672897,-2.43312436976471,"PKDREJ","polycystin (PKD) family receptor for egg jelly","10343",TRUE
"A_23_P91081",5.15856543613746e-10,6.83335383696017e-12,-9.90211098566471,17.0479263787539,-3.60334920635294,"EPCAM","epithelial cell adhesion molecule","4072",TRUE
"A_23_P158775",5.15856543613746e-10,6.85826100692433e-12,-9.90077084371903,17.0443147780091,-5.24044166664706,"UMOD","uromodulin","7369",TRUE
"A_23_P357207",5.35374641415855e-10,7.14631340215531e-12,-9.88562227459442,17.0034735664545,-2.93625882352941,"MRAP2","melanocortin 2 receptor accessory protein 2","112609",TRUE
"A_23_P123336",5.41886204069288e-10,7.27697295270235e-12,-9.87895466173281,16.9854876395414,-2.02158823529412,"PDP1","pyruvate dehyrogenase phosphatase catalytic subunit 1","54704",TRUE
"A_24_P128001",5.41886204069288e-10,7.28401656743528e-12,9.87859869191306,16.9845272412359,2.71269096635294,"ZNF395","zinc finger protein 395","55893",TRUE
"A_23_P148737",5.52976461268588e-10,7.44935641099516e-12,-9.87034188041476,16.9622457915043,-2.53635294117647,"MYBPH","myosin binding protein H","4608",TRUE
"A_32_P187571",5.62769581339244e-10,7.59783627962565e-12,-9.86308443845063,16.9426536523766,-3.15092205882353,"SCN2B","sodium voltage-gated channel beta subunit 2","6327",TRUE
"A_23_P55572",5.84713381678785e-10,7.98008733157704e-12,-9.84504509770368,16.8939242183172,-2.93153856211765,"CLUL1","clusterin like 1","27098",TRUE
"A_23_P417951",6.82276274956089e-10,9.53236162727638e-12,-9.77985324781739,16.7174593199692,-2.27395424835294,"TSPYL5","TSPY like 5","85453",TRUE
"A_23_P14892",7.17427058065554e-10,1.00867737442007e-11,-9.75916089898078,16.6613293603038,-2.39775686276471,"IGFALS","insulin like growth factor binding protein acid labile subunit","3483",TRUE
"A_24_P62659",7.62634175477846e-10,1.07448017546293e-11,-9.73605325823201,16.5985801327324,-2.756098366,"TSPAN2","tetraspanin 2","10100",TRUE
"A_24_P810290",7.78831370934103e-10,1.10417295367444e-11,-9.72609376343875,16.5715129701371,-2.69987815123529,"PLPP4","phospholipid phosphatase 4","196051",TRUE
"A_32_P121424",7.8944666924424e-10,1.1261887010514e-11,-9.71888363614223,16.5519095764729,-4.81049635852941,"ATP6V0D2","ATPase H+ transporting V0 subunit d2","245972",TRUE
"A_24_P910310",8.63828307302463e-10,1.24500226653982e-11,-9.68229189996271,16.4523146291738,-2.29825602241176,"MITF","melanogenesis associated transcription factor","4286",TRUE
"A_23_P148047",8.75648087078789e-10,1.26777229664276e-11,-9.6756865254089,16.4343171993922,-2.42770588235294,"PTGER4","prostaglandin E receptor 4","5734",TRUE
